,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,metadata_source
5,Reggie Bullock,7.000000:21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,2021-11-03 DAL @ SAS
6,Willie Cauley-Stein,10.000000:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-13.0,2021-11-03 DAL @ SAS
7,Frank Ntilikina,16.000000:08,0.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,-15.0,2021-11-03 DAL @ SAS
8,Sterling Brown,19.000000:18,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,7.0,2021-11-03 DAL @ SAS
9,Boban Marjanovic,14.000000:47,8.0,10.0,0.8,0.0,0.0,0.0,1.0,4.0,0.25,2.0,3.0,5.0,0.0,0.0,1.0,4.0,5.0,17.0,17.0,2021-11-03 DAL @ SAS
10,Josh Green,5.000000:39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2021-11-03 DAL @ SAS
14,Dorian Finney-Smith,30.000000:06,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,9.0,5.0,2021-11-06 DAL vs. BOS
15,Kristaps Porzingis,27.000000:53,7.0,13.0,0.538,0.0,3.0,0.0,7.0,8.0,0.875,4.0,3.0,7.0,2.0,2.0,1.0,1.0,2.0,21.0,-4.0,2021-11-06 DAL vs. BOS
16,Dwight Powell,22.000000:37,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0,2021-11-06 DAL vs. BOS
17,Tim Hardaway Jr.,34.000000:49,3.0,8.0,0.375,0.0,4.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0,2021-11-06 DAL vs. BOS
18,Luka Doncic,35.000000:04,12.0,21.0,0.571,5.0,10.0,0.5,4.0,4.0,1.0,1.0,8.0,9.0,5.0,0.0,1.0,6.0,4.0,33.0,10.0,2021-11-06 DAL vs. BOS
19,Jalen Brunson,34.000000:36,6.0,12.0,0.5,1.0,6.0,0.167,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,2.0,4.0,13.0,1.0,2021-11-06 DAL vs. BOS
20,Reggie Bullock,26.000000:05,5.0,11.0,0.455,3.0,8.0,0.375,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,13.0,2.0,2021-11-06 DAL vs. BOS
21,Willie Cauley-Stein,8.000000:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2021-11-06 DAL vs. BOS
22,Sterling Brown,7.000000:24,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2021-11-06 DAL vs. BOS
23,Frank Ntilikina,12.000000:56,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,-7.0,2021-11-06 DAL vs. BOS
15,Dorian Finney-Smith,29.000000:51,2.0,4.0,0.5,2.0,4.0,0.5,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,6.0,3.0,2021-11-08 DAL vs. NOP
16,Kristaps Porzingis,26.000000:01,4.0,13.0,0.308,3.0,8.0,0.375,1.0,1.0,1.0,0.0,8.0,8.0,3.0,0.0,1.0,2.0,4.0,12.0,7.0,2021-11-08 DAL vs. NOP
17,Dwight Powell,22.000000:00,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,1.0,0.0,1.0,2.0,6.0,-1.0,2021-11-08 DAL vs. NOP
18,Tim Hardaway Jr.,33.000000:22,6.0,9.0,0.667,4.0,5.0,0.8,1.0,2.0,0.5,0.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,17.0,11.0,2021-11-08 DAL vs. NOP
19,Luka Doncic,33.000000:15,10.0,21.0,0.476,2.0,5.0,0.4,3.0,5.0,0.6,2.0,3.0,5.0,5.0,1.0,1.0,5.0,3.0,25.0,-2.0,2021-11-08 DAL vs. NOP
